Meta Marketing API (metrics sync + CAPI attribution),$0 — Meta charges nothing for API access,,,,,
GoHighLevel webhook delivery,$0 — GHL doesn't charge per webhook,,,,,
Virtual Closer / RevRing lead routing,$0 marginal — handled by your VC infra,,,,,
Lead ingestion webhook (inbound),$0 — covered by Vercel function execution,,,,,
Real-time attribution events (per lead status change),$0 — API calls to Google/Meta are free,,,,,
,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
TOTAL PLATFORM OPERATING COST SUMMARY,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
Cost Category,Scenario A: Launch,Scenario B: Growth,Scenario C: Scale,Scenario D: Enterprise,Scenario E: Dominant
Claude API,$0.65,$3.47,$8.68,$29.12,$67.36
fal.ai (image generation),$3.90,$62.40,$156.00,$468.00,$1248.00
Placid (compositing),$19.00,$49.00,$99.00,$199.00,$350.00
Infrastructure,$47.00,$47.00,$47.00,$176.00,$700.00
TOTAL MONTHLY COST,$70.55,$161.87,$310.68,$872.12,$2365.36
,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
UNIT ECONOMICS & MARGINS,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
Metric,Scenario A: Launch,Scenario B: Growth,Scenario C: Scale,Scenario D: Enterprise,Scenario E: Dominant
Active Clients,5,20,50,100,200
Total Monthly Cost,$70.55,$161.87,$310.68,$872.12,$2365.36
Platform Cost Per Client / Month,$14.11,$8.09,$6.21,$8.72,$11.83
Suggested Platform Fee / Client / Month,$997,$1497,$1997,$2997,$3997
Monthly Recurring Revenue (MRR),$4985,$29940,$99850,$299700,$799400
Platform Gross Profit (MRR minus ops cost),$4914,$29778,$99539,$298828,$797035
Platform Gross Margin,98.6%,99.5%,99.7%,99.7%,99.7%
Cost as % of Client Ad Spend (total),0.47%,0.13%,0.052%,0.035%,0.024%
,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
COST SCALING INSIGHT,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
The dominant cost driver at scale is fal.ai image generation (~54% of total at 200 clients).,,,,,
Placid is a fixed plan cost — renegotiate to custom pricing above 5000 images/month.,,,,,
Claude API costs are essentially free — even at 200 clients it's only $67/month.,,,,,
Infrastructure is near-flat — Vercel + Supabase don't meaningfully scale until 100+ clients.,,,,,
Real-time attribution (Google EC + Meta CAPI) adds $0 marginal cost regardless of volume.,,,,,
,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
OPTIONAL ADD-ONS (not yet built),,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
Service,Cost,Notes
Resend (weekly report emails),$20/mo (50K emails),Free tier covers up to 3000 emails/mo — fine until ~500 clients
Video ad generation (Runway / Kling),~$0.30-0.50/video,Future layer — not yet in engine
Custom domain per client (white-label),~$12/yr per domain,Only if you white-label per client
Twilio / SMS lead alerts,$0.0079/SMS,Optional — not in current build
,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
BOTTOM LINE,,,,,
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,,,
"At 5 clients the entire platform costs $70/month to run. At 100 clients it's $872/month against $300K MRR.",,,,,
"The AI engine is essentially free — fal.ai images are the only meaningful variable cost.",,,,,
"Reduce image gen costs by only running Flux Pro on approved copy variants (not all drafts).",,,,,
"At scale negotiate Placid custom plan + fal.ai volume pricing — both offer enterprise discounts.",,,,,
